0           41550
H             89.333        137.0
H             89.417        135.0
H             89.5          137.0
H             89.583        136.0
H             89.667        136.0
H             89.75         136.0
H             89.833        135.0
H             89.917        137.0
H             90.0          134.0
H             90.083        136.0
H             90.167        134.0
H             90.25         136.0
H             90.333        134.0
H             90.417        135.0
H             90.5          135.0
H             90.583        134.0
H             90.667        136.0
H             90.75         135.0
H             90.833        134.0
H             90.917        135.0
H             91.0          134.0
H             91.083        134.0
H             91.167        136.0
H             91.25         134.0
H             91.333        134.0
H             91.417        134.0
H             91.5          134.0
H             91.583        135.0
H             91.667        135.0
H             91.75         135.0
H             91.833        136.0
H             91.917        137.0
H             92.0          136.0
H             92.083        137.0
H             92.167        136.0
H             92.25         138.0
H             92.333        137.0
H             92.417        139.0
H             92.5          140.0
H             92.583        141.0
H             92.667        141.0
H             92.75         141.0
H             92.833        141.0
H             92.917        143.0
H             93.0          142.0
H             93.083        144.0
H             93.167        144.0
H             93.25         145.0
H             93.333        144.0
H             93.417        146.0
H             93.5          147.0
H             93.583        146.0
H             93.667        146.0
H             93.75         147.0
H             93.833        149.0
H             93.917        148.0
H             94.0          150.0
H             94.083        149.0
H             94.167        149.0
H             94.25         151.0
H             94.333        151.0
H             94.417        152.0
H             94.5          152.0
H             94.583        151.0
H             94.667        154.0
H             94.75         155.0
H             94.833        154.0
H             94.917        153.0
H             95.0          153.0
H             95.083        155.0
H             95.167        154.0
H             95.25         153.0
H             95.333        157.0
H             95.417        155.0
H             95.5          155.0
H             95.583        155.0
H             95.667        156.0
H             95.75         157.0
H             95.833        156.0
H             95.917        157.0
H             96.0          155.0
H             96.083        156.0
H             96.167        157.0
H             96.25         156.0
H             96.333        155.0
H             96.417        156.0
H             96.5          158.0
H             96.583        158.0
H             96.667        157.0
H             96.75         160.0
H             96.833        159.0
H             96.917        159.0
H             97.0          160.0
H             97.083        162.0
H             97.167        164.0
H             97.25         164.0
H             97.333        165.0
H             97.417        166.0
H             97.5          166.0
H             97.583        167.0
H             97.667        169.0
H             97.75         167.0
H             97.833        170.0
H             97.917        170.0
H             98.0          173.0
H             98.083        171.0
H             98.167        173.0
H             98.25         174.0
H             98.333        175.0
H             98.417        177.0
H             98.5          176.0
H             98.583        178.0
H             98.667        177.0
H             98.75         178.0
H             98.833        179.0
H             98.917        178.0
H             99.0          180.0
H             99.083        183.0
H             99.167        182.0
H             99.25         182.0
H             99.333        182.0
H             99.417        182.0
H             99.5          183.0
H             99.583        183.0
H             99.667        185.0
H             99.75         186.0
H             99.833        183.0
H             99.917        184.0
H             100.0         184.0
H             100.083       185.0
H             100.167       185.0
H             100.25        184.0
H             100.333       185.0
H             100.417       185.0
H             100.5         183.0
H             100.583       184.0
H             100.667       182.0
H             100.75        184.0
H             100.833       183.0
H             100.917       184.0
H             101.0         182.0
H             101.083       184.0
H             101.167       182.0
H             101.25        182.0
H             101.333       184.0
H             101.417       181.0
H             101.5         180.0
H             101.583       182.0
H             101.667       180.0
H             101.75        180.0
H             101.833       181.0
H             101.917       180.0
H             102.0         179.0
H             102.083       181.0
H             102.167       179.0
H             102.25        180.0
H             102.333       179.0
H             102.417       180.0
H             102.5         175.0
H             102.583       175.0
H             102.667       176.0
H             102.75        176.0
H             102.833       176.0
H             102.917       175.0
H             103.0         176.0
H             103.083       175.0
H             103.167       175.0
H             103.25        174.0
H             103.333       174.0
H             103.417       173.0
H             103.5         172.0
H             103.583       168.0
H             103.667       171.0
H             103.75        171.0
H             103.833       170.0
H             103.917       171.0
H             104.0         170.0
H             104.083       170.0
H             104.167       170.0
H             104.25        170.0
H             104.333       168.0
H             104.417       167.0
H             104.5         170.0
H             104.583       168.0
H             104.667       170.0
H             104.75        168.0
H             104.833       167.0
H             104.917       168.0
H             105.0         165.0
H             105.083       167.0
H             105.167       173.0
H             105.25        170.0
H             105.333       170.0
H             105.417       172.0
H             105.5         167.0
H             105.583       170.0
H             105.667       168.0
H             105.75        168.0
H             105.833       167.0
H             105.917       166.0
H             106.0         164.0
H             106.083       165.0
H             106.167       167.0
H             106.25        165.0
H             106.333       165.0
H             106.417       163.0
H             106.5         163.0
H             106.583       163.0
H             106.667       162.0
H             106.75        162.0
H             106.833       160.0
H             106.917       159.0
H             107.0         158.0
H             107.083       159.0
H             107.167       159.0
H             107.25        156.0
H             107.333       155.0
H             107.417       155.0
H             107.5         155.0
H             107.583       153.0
H             107.667       154.0
H             107.75        152.0
H             107.833       152.0
H             107.917       151.0
H             108.0         100.0
H             108.083       99.0
H             108.167       100.0
H             108.25        99.0
H             108.333       98.0
H             108.417       98.0
H             108.5         99.0
H             108.583       99.0
H             108.667       97.0
H             108.75        99.0
H             108.833       98.0
H             108.917       98.0
H             109.0         97.0
H             109.083       97.0
H             109.167       97.0
H             109.25        170.0
H             109.333       170.0
H             109.417       172.0
H             109.5         167.0
H             109.583       170.0
H             109.667       168.0
H             109.75        168.0
H             109.833       167.0
H             109.917       166.0
H             110.0         164.0
H             110.083       165.0
H             110.167       167.0
H             110.25        165.0
H             110.333       165.0
H             110.417       163.0
H             110.5         163.0
H             110.583       163.0
H             110.667       162.0
H             110.75        162.0
H             110.833       160.0
H             110.917       159.0
H             111.0         158.0
H             111.083       159.0
H             111.167       159.0
H             111.25        156.0
H             111.333       155.0
H             111.417       155.0
H             111.5         155.0
H             111.583       153.0
H             111.667       154.0
H             111.75        152.0
H             111.833       99.0
H             111.917       100.0
H             112.0         99.0
H             112.083       98.0
H             112.167       98.0
H             112.25        99.0
H             112.333       99.0
H             112.417       97.0
H             112.5         99.0
H             112.583       98.0
H             112.667       98.0
H             112.75        97.0
H             112.833       97.0
H             112.917       97.0
H             113.0         97.0
H             113.083       96.0
H             113.167       97.0
H             113.25        96.0
H             113.333       97.0
H             113.417       97.0
H             113.5         97.0
H             113.583       98.0
H             113.667       97.0
H             113.75        98.0
H             113.833       96.0
H             113.917       97.0
H             114.0         97.0
H             114.083       97.0
H             114.167       97.0
H             114.25        97.0
H             114.333       97.0
H             114.417       97.0
H             114.5         98.0
H             114.583       98.0
H             114.667       98.0
H             114.75        97.0
H             114.833       97.0
H             114.917       97.0
H             115.0         97.0
H             115.083       97.0
H             115.167       96.0
H             115.25        98.0
H             115.333       98.0
H             115.417       97.0
H             115.5         98.0
H             115.583       98.0
H             115.667       97.0
H             115.75        99.0
H             115.833       98.0
H             115.917       98.0
H             116.0         98.0
H             116.083       97.0
H             116.167       98.0
H             116.25        99.0
